genre,num_genre
Action & Adventure,721
Anime Features,57
Anime Series,148
British TV Shows,232
Children & Family Movies,532
Classic & Cult TV,27
Classic Movies,103
Comedies,1471
Crime TV Shows,427
Cult Movies,59
Documentaries,786
Docuseries,353
Dramas,2106
Faith & Spirituality,57
Horror Movies,312
Independent Movies,673
International Movies,2437
International TV Shows,1199
Kids' TV,414
Korean TV Shows,150
LGBTQ Movies,90
Movies,56
Music & Musicals,321
Reality TV,222
Romantic Movies,531
Romantic TV Shows,333
Sci-Fi & Fantasy,218
Science & Nature TV,85
Spanish-Language TV Shows,147
Sports Movies,196
Stand-Up Comedy,329
Stand-Up Comedy & Talk Shows,52
TV Action & Adventure,150
TV Comedies,525
TV Dramas,704
TV Horror,69
TV Mysteries,90
TV Sci-Fi & Fantasy,76
TV Shows,12
TV Thrillers,50
Teen TV Shows,60
Thrillers,491
